abseil-cpp 20260817.0-2
acl 2.4.0-1
adwaita-cursors 50.0-1
adwaita-fonts 51.0-2
adwaita-icon-theme 50.0-1
adwaita-icon-theme-legacy 46.2-3
aether 4.29.8-1
alsa-card-profiles 1:1.6.8-1
alsa-lib 1.2.16.1-1
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.16.1-1
alsa-utils 1.2.16-1
aom 3.15.0-1
appstream 1.2.0-1
aquamarine 0.15.0-2
archlinux-keyring 20260909-1
archlinuxarm-keyring 20240419-2
argon2 20190702-6
asdcontrol 1:0.6.0-2
at-spi2-core 2.60.6-1
attica 6.30.0-1
attr 2.6.0-1
audit 4.2.1-1
avahi 1:0.9rc5-1
base 3-3
bash 5.3.15-1
bash-completion 2.18.0-1
bat 0.26.1-2
benchmark 1.9.5-2
bindfs 1.18.4-2
binutils 2.46+r70+g155188ea10a7-1
blas 3.12.1-2
bluez 5.87-2
bluez-libs 5.87-2
bluez-tools 0.2.0-6
bluez-utils 5.87-2
bolt 0.9.11-3
boost-libs 1.92.0-1
breeze-icons 6.30.0-1
brightnessctl 0.5.1-3
brotli 1.2.0-1
btop 1.4.7-1
btrfs-progs 7.1-1
bubblewrap 0.12.0-1
bzip2 1.0.8-6
ca-certificates 20240618-1
ca-certificates-mozilla 3.129-1
ca-certificates-utils 20240618-1
cairo 1.18.4-1
cblas 3.12.1-2
cdparanoia 10.2-10
cfitsio 1:4.7.0-1
chromium 153.0.8010.36-1
cifs-utils 7.5-1
clang 22.1.8-1
cliamp 1.63.2-1
clipnotify 1.0.2-3
clucene 2.3.3.4-17
compiler-rt 22.1.8-1
containerd 2.3.5-1
convertlit 1.8-13
coreutils 9.11-2
cpptrace 1.0.4-2
cracklib 2.10.3-1
cryptsetup 2.8.8-1
cups 2:2.4.19-1
cups-filters 2.0.1-3
cups-pk-helper 0.2.7-2
curl 8.22.0-1
dav1d 1.5.4-1
db5.3 5.3.28-7
dbus 1.16.2-1
dbus-broker 37-3
dbus-broker-units 37-3
dbus-units 37-3
dconf 0.49.0-1
ddcutil 3.0.1-1
default-cursors 3-1
desktop-file-utils 0.28-1
device-mapper 2.03.42-1
diffutils 3.12-2
djvulibre 3.5.30.1-1
docker 1:29.8.0-1
docker-buildx 0.37.1-1
docker-compose 5.5.1-1
dosfstools 4.2-5
dotnet-host-bin 10.0.11.sdk400-1
dotnet-runtime-bin 10.0.11.sdk400-1
double-conversion 3.4.0-1
dua-cli 2.45.0-1
duktape 2.7.0-7
e2fsprogs 1.47.4-1
ebook-tools 0.2.2-9
efibootmgr 18-4
efivar 39-2
elfutils 0.196-1
enchant 2.8.21-1
evince 1:48.4-1
exempi 2.6.6-3
exfatprogs 1.4.3-1
exiv2 0.28.9-1
expac 10-13
expat 2.8.4-1
eza 0.23.5-2
fakeroot 1:1.37.2-3
fastfetch 2.68.1-1
fcft 3.3.3-1
fcitx5 5.1.22-1
fcitx5-gtk 5.1.7-1
fcitx5-qt 5.1.15-1
fd 10.5.0-3
ffmpeg 2:9.0.1-4
ffmpegthumbnailer 2.3.1-1
fftw 3.3.11-1
file 5.48-1
filesystem 2025.10.12-1
findutils 4.11.0-1
flac 1.5.0-1
fmt 12.2.0-1
fontconfig 2:2.18.3-2
foot 1.28.0-2
freeglut 3.8.0-1
freetype2 2.14.3-1
frei0r-plugins 3.5.0-1
fribidi 1.0.16-2
fuse-common 3.18.3-1
fuse3 3.18.3-1
fzf 0.74.4-1
gavl 2.0.1-2
gawk 5.4.1-1
gcc 16.1.1+r12+g301eb08fa2c5-1
gcc-libs 16.1.1+r12+g301eb08fa2c5-1
gcr 3.41.2-2
gcr-4 4.4.1-1
gdbm 1.26-2
gdk-pixbuf2 2.44.6-2
gettext 1.0-2
gexiv2 0.16.2-2
gexiv2-common 0.16.2-2
ghostscript 10.08.0-1
giflib 6.1.3-2
git 2.55.0-1
gjs 2:1.88.1-1
glib-networking 1:2.80.1-1
glib2 2.88.3-1
glibc 2.43+r22+g8362e8ce10b2-2
glslang 1:1.4.357.0-1
glu 9.0.3-3
glycin 2.1.5-2
glycin-gtk4 2.1.5-2
gmp 6.3.0-3
gnome-autoar 0.5.2-1
gnome-desktop 1:44.5-1
gnome-desktop-4 1:44.5-1
gnome-desktop-common 1:44.5-1
gnome-disk-utility 46.1-3
gnome-keyring 1:50.0-1
gnome-themes-extra 1:3.28-1
gnulib-l10n 20241231-1
gnupg 2.4.9-3
gnutls 3.8.13-3
gobject-introspection-runtime 1.86.0-2
gperftools 2.18.1-1
gpgme 2.2.0-1
gpgmepp 2.2.0-1
gpm 1.20.7.r38.ge82d1a6-6
graphene 1.10.8-2.1
graphite 1:1.3.15-1
grep 3.12-2
grim 1.5.0-2
groff 1.24.1-1
gsettings-desktop-schemas 50.1-1
gsettings-system-schemas 50.1-1
gsfonts 20200910-6
gsm 1.0.24-1
gspell 1.14.4-1
gssdp 1.6.6-1
gst-plugin-gtk 1.28.7-1
gst-plugin-pipewire 1:1.6.8-1
gst-plugins-bad-libs 1.28.7-1
gst-plugins-base 1.28.7-1
gst-plugins-base-libs 1.28.7-1
gstreamer 1.28.7-1
gtest 1.18.0-1
gtk-update-icon-cache 1:4.22.5-1
gtk3 1:3.24.52-1
gtk4 1:4.22.5-1
gtk4-layer-shell 1.3.0-1
gtksourceview4 4.8.4-2
gum 2.0.1-1
gupnp 1:1.6.10-1
gupnp-dlna 0.12.0-5
gupnp-igd 1.6.0-2
gvfs 1.60.3-1
gvfs-mtp 1.60.3-1
gvfs-nfs 1.60.3-1
gvfs-smb 1.60.3-1
gzip 1.14-2
harfbuzz 14.4.0-1
harfbuzz-icu 14.4.0-1
hdf5 2.2.0-1
herdr 0.8.2-1
hicolor-icon-theme 0.18-1
hidapi 0.15.0-1
highway 1.4.0-1
hunspell 1.7.3-1
hwdata 0.411-1
hwloc 2.14.0-1
hyphen 2.8.9-1
hyprcursor 0.1.13-7
hyprgraphics 0.5.1-4
hyprland 0.56.1-3.1
hyprland-guiutils 0.2.2-2
hyprland-preview-share-picker 0.2.1-1
hyprlang 0.6.8-5
hyprpicker 0.4.7-4
hyprsunset 0.4.0-3
hyprtoolkit 0.5.4-6
hyprutils 0.14.2-1
hyprwayland-scanner 0.4.6-1
hyprwire 0.3.1-3
i2c-tools 4.4-4
iana-etc 20260617-1
icu 78.3-1
ijs 0.35-7
imagemagick 7.1.2.31-1
imath 3.2.3-1
imv 5.0.1-2
inetutils 2.8-1
iniparser 4.2.6-2
inotify-tools 4.25.9.0-1
inxi 3.3.41.1-1
iproute2 7.2.0-1
iptables 1:1.8.13-1
iputils 20250605-1
iso-codes 4.20.1-1
iw 6.17-1
jansson 2.15.1-1
jasper 4.2.9-1
jbig2dec 0.20-1
jbigkit 2.1-8
jemalloc 1:5.3.1-3
jq 1.8.2-1
js140 140.15.0-1
json-c 0.19-1
json-glib 1.10.8-1
kaccounts-integration 26.08.1-1
karchive 6.30.0-1
kbd 2.10.0-1
kbookmarks 6.30.0-1
kcmutils 6.30.0-1
kcodecs 6.30.0-1
kcolorscheme 6.30.0-1
kcompletion 6.30.0-1
kconfig 6.30.0-1
kconfigwidgets 6.30.0-1
kcoreaddons 6.30.0-1
kcrash 6.30.0-1
kdbusaddons 6.30.0-1
kddockwidgets 2.4.1-1
kdenlive 26.08.1-1
kernel-modules-hook 0.1.7-3
keyutils 1.6.3-4
kfilemetadata 6.30.0-1
kglobalaccel 6.30.0-1
kguiaddons 6.30.0-1
ki18n 6.30.0-1
kiconthemes 6.30.0-1
kio 6.30.0-1
kirigami 6.30.0-1
kitemmodels 6.30.0-1
kitemviews 6.30.0-1
kjobwidgets 6.30.0-1
kmod 34.2-1
knewstuff 6.30.0-1
knotifications 6.30.0-1
knotifyconfig 6.30.0-1
kpackage 6.30.0-1
krb5 1.22.2-1
kservice 6.30.0-1
ktextwidgets 6.30.0-1
kwallet 6.30.0-1
kwidgetsaddons 6.30.0-1
kwindowsystem 6.30.0-1
kxmlgui 6.30.0-1
l-smash 2.14.5-4
lame 4.0-1
lapack 3.12.1-2
lazydocker 0.25.2-1
lazygit 0.65.1-1
lcms2 2.19.1-1
ldb 2:4.24.7-1
leancrypto 1.9.0-1
leptonica 1.87.0-2
less 1:704-1
libabw 0.1.4-1
libaccounts-glib 1.27-3
libaccounts-qt 1.17-2
libadwaita 1:1.9.4-1
libaec 1.1.7-1
libarchive 3.8.9-1
libasan 16.1.1+r12+g301eb08fa2c5-1
libass 0.17.5-1
libassuan 3.0.0-1
libasyncns 1:0.8+r3+g68cd5af-3
libatasmart 0.19-8
libatomic 16.1.1+r12+g301eb08fa2c5-1
libatomic_ops 7.8.2-2
libavc1394 0.5.4-7
libavif 1.4.2-1
libayatana-appindicator 0.6.0-2
libb2 0.98.1-3
libblake3 1.8.7-1
libblockdev 3.5.0-2
libblockdev-crypto 3.5.0-2
libblockdev-fs 3.5.0-2
libblockdev-loop 3.5.0-2
libblockdev-mdraid 3.5.0-2
libblockdev-nvme 3.5.0-2
libblockdev-part 3.5.0-2
libblockdev-smart 3.5.0-2
libblockdev-swap 3.5.0-2
libbluray 1.5.1-1
libbpf 1.7.0-1
libbs2b 3.1.0-10
libbsd 0.12.2-2
libbytesize 2.12-3
libcanberra 1:0.30+r2+gc0620e4-6
libcap 2.78-1
libcap-ng 0.9.6-1
libcdio 2.4.0-1
libcdio-paranoia 10.2+2.0.2-3
libcdr 0.1.9-1
libcgif 0.5.4-1
libcloudproviders 0.4.1-1
libcmis 0.6.3-2
libcolord 1.4.8-1
libcue 2.3.0-1
libcups 2:2.4.19-1
libcupsfilters 2.2.1-2
libdaemon 0.14-6
libdatrie 0.2.14-1
libdbusmenu-glib 18.10.20180917-2
libdbusmenu-gtk3 18.10.20180917-2
libdc1394 2.2.7-2
libde265 1.1.3-1
libdecor 0.2.5-1
libdeflate 1.26-1
libdisplay-info 0.3.0-1
libdovi 3.4.0-1
libdrm 2.4.134-1
libdvdnav 7.0.0-1
libdvdread 7.1.1-1
libdwarf 1:2.3.2-1
libe-book 0.1.4-1
libebur128 1.2.6-2
libedit 20260512_3.1-1
libei 1.6.0-1
libelf 0.196-1
libepoxy 1.5.10-3
libepubgen 0.1.1-6
libetonyek 0.1.13-3
libevdev 1.13.7-1
libevent 2.1.13-2
libexif 0.6.26-1
libexttextcat 3.4.8-1
libfdk-aac 2.0.3-2
libffi 3.8.0-1
libfontenc 1.1.9-1
libfreeaptx 0.2.2-1
libfreehand 0.1.3-1
libfyaml 0.9.6-3
libgcc 16.1.1+r12+g301eb08fa2c5-1
libgcrypt 1.12.4-1
libgfortran 16.1.1+r12+g301eb08fa2c5-1
libgirepository 1.86.0-2
